노선,지사,터널명,이정,연장,차로수,종별,상태등급,준공일자,행정구역
서울양양선,춘천지사,발산3터널(서울),46,251,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산4터널(양양),49,433,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,발산4터널(서울),49,387,2,2종,B,2009-08-11,강원특별자치도 춘천시 남면 발산리
서울양양선,춘천지사,추곡터널(양양),50,433,2,2종,B,2009-08-11,강원특별자치도 춘천시 남산면 행촌리
서울양양선,춘천지사,추곡터널(서울),50,412,2,2종,B,2009-08-11,강원특별자치도 춘천시 남산면 행촌리
서울양양선,춘천지사,행촌터널(양양),53,463,2,2종,B,2009-08-11,강원특별자치도 춘천시 남산면 행촌리
서울양양선,춘천지사,행촌터널(서울),53,459,2,2종,B,2009-08-11,강원특별자치도 춘천시 남산면 행촌리
서울양양선,춘천지사,광판터널(양양),54,358,2,2종,B,2009-08-11,강원특별자치도 춘천시 남산면 광판리
서울양양선,춘천지사,광판터널(서울),54,278,2,2종,A,2009-08-11,강원특별자치도 춘천시 남산면 광판리
서울양양선,춘천지사,군자1터널(서울),59,511,2,2종,B,2009-08-11,강원특별자치도 춘천시 동산면 군자리
서울양양선,춘천지사,군자1터널(양양),59,474,2,2종,B,2009-08-11,강원특별자치도 춘천시 동산면 군자리
서울양양선,춘천지사,군자2터널(양양),60,885,2,2종,B,2009-08-11,강원특별자치도 춘천시 동산면 군자리
서울양양선,춘천지사,군자2터널(서울),60,915,2,2종,B,2009-08-11,강원특별자치도 춘천시 동산면 군자리
서울양양선,춘천지사,동산1터널(양양),65,683,2,2종,B,2009-12-15,강원특별자치도 춘천시 동산면 조양리
서울양양선,춘천지사,동산1터널(서울),65,708,2,2종,A,2009-12-15,강원특별자치도 춘천시 동산면 조양리
서울양양선,춘천지사,동산2터널(양양),66,1137,2,1종,B,2009-12-15,강원특별자치도 춘천시 동산면 조양리
서울양양선,춘천지사,동산2터널(서울),66,1239,2,1종,B,2009-12-15,강원특별자치도 춘천시 동산면 조양리
서울양양선,춘천지사,북방1터널(양양),67,2298,2,1종,B,2009-12-15,강원특별자치도 춘천시 동산면 봉명리
서울양양선,춘천지사,북방1터널(서울),67,2285,2,1종,B,2009-12-15,강원특별자치도 춘천시 동산면 봉명리
서울양양선,춘천지사,북방2터널(양양),71,326,2,2종,B,2009-12-15,강원특별자치도 홍천군 북방면 성동리
서울양양선,춘천지사,북방2터널(서울),71,330,2,2종,B,2009-12-15,강원특별자치도 홍천군 북방면 성동리
서울양양선,춘천지사,북방3터널(양양),72,1520,2,1종,B,2009-12-15,강원특별자치도 홍천군 북방면 성동리
서울양양선,춘천지사,북방3터널(서울),72,1518,2,1종,B,2009-12-15,강원특별자치도 홍천군 북방면 성동리
서울양양선,춘천지사,화촌1터널(양양),75,721,2,2종,B,2009-12-15,강원특별자치도 홍천군 화촌면 송정리
서울양양선,춘천지사,화촌1터널(서울),75,691,2,2종,B,2009-12-15,강원특별자치도 홍천군 화촌면 송정리
서울양양선,춘천지사,화촌2터널(양양),75,378,2,2종,B,2009-12-15,강원특별자치도 홍천군 화촌면 송정리
서울양양선,춘천지사,화촌2터널(서울),75,359,2,2종,B,2009-12-15,강원특별자치도 홍천군 화촌면 송정리
서울양양선,춘천지사,화촌3터널(양양),80,527,2,2종,B,2017-07-10,강원특별자치도 홍천군 화촌면 외삼포리
서울양양선,춘천지사,화촌3터널(서울),80,407,2,2종,B,2017-07-10,강원특별자치도 홍천군 화촌면 외삼포리
서울양양선,춘천지사,화촌5터널(양양),83,125,2,2종,B,2017-07-10,강원특별자치도 홍천군 화촌면 군업리
서울양양선,춘천지사,화촌5터널(서울),83,125,2,2종,B,2017-07-10,강원특별자치도 홍천군 화촌면 군업리
서울양양선,춘천지사,화촌6터널(양양),84,629,2,2종,A,2017-07-10,강원특별자치도 홍천군 화촌면 군업리
서울양양선,춘천지사,화촌6터널(서울),84,599,2,2종,A,2017-07-10,강원특별자치도 홍천군 화촌면 군업리
서울양양선,춘천지사,화촌8터널(양양),87,978,2,2종,A,2017-07-10,강원특별자치도 홍천군 화촌면 장평리
서울양양선,춘천지사,화촌8터널(서울),87,963,2,2종,A,2017-07-10,강원특별자치도 홍천군 화촌면 장평리
서울양양선,춘천지사,화촌9터널(서울),88,3690,2,1종,B,2017-07-10,강원특별자치도 홍천군 화촌면 장평리
서울양양선,춘천지사,화촌9터널(양양),88,3705,2,1종,B,2017-07-10,강원특별자치도 홍천군 화촌면 장평리
서울양양선,춘천지사,내촌1터널(양양),92,1248,2,1종,A,2017-07-10,강원특별자치도 홍천군 내촌면 와야리
서울양양선,춘천지사,내촌1터널(서울),92,1267,2,1종,A,2017-07-10,강원특별자치도 홍천군 내촌면 와야리
서울양양선,춘천지사,내촌2터널(양양),94,100,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 와야리
서울양양선,춘천지사,내촌2터널(서울),94,100,2,2종,A,2017-07-10,강원특별자치도 홍천군 내촌면 와야리
